gamma1,gamma2,norm,log10_break_energy_gev,scan
1.5841077339416705,2.835024154589372,1.77e-18,4.39,gamma1-gamma2
1.7054348112007751,2.821955286561265,1.77e-18,4.39,gamma1-gamma2
1.71918140683709,2.652015398550725,1.77e-18,4.39,gamma1-gamma2
1.808941286735105,2.8015625,1.77e-18,4.39,gamma1-gamma2
1.8268372603602447,2.6643260046113313,1.77e-18,4.39,gamma1-gamma2
1.92283869076907,2.75619464573269,1.77e-18,4.39,gamma1-gamma2
1.8855561007112176,2.6711503623188406,1.77e-18,4.39,gamma1-gamma2
1.9238245375874348,2.713606063179348,1.77e-18,4.39,gamma1-gamma2
0.0651867501250418,2.735,1.77e-18,4.36063282279315,gamma1-log10_break_energy_gev
0.0134496192297355,2.735,1.77e-18,4.245153985507247,gamma1-log10_break_energy_gev
0.1390228189579971,2.735,1.77e-18,4.371003170289856,gamma1-log10_break_energy_gev
0.1704327678201087,2.735,1.77e-18,4.244217308959158,gamma1-log10_break_energy_gev
0.2783395168472147,2.735,1.77e-18,4.242745388669302,gamma1-log10_break_energy_gev
0.3405739917288821,2.735,1.77e-18,4.387796442687748,gamma1-log10_break_energy_gev
0.3421103395061724,2.735,1.77e-18,4.242210144927537,gamma1-log10_break_energy_gev
0.4340159180211689,2.735,1.77e-18,4.397313745471015,gamma1-log10_break_energy_gev
0.5040215713902301,2.735,1.77e-18,4.242210144927537,gamma1-log10_break_energy_gev
0.6061211736172103,2.735,1.77e-18,4.413782526350461,gamma1-log10_break_energy_gev
0.6120181472027033,2.735,1.77e-18,4.244618741765481,gamma1-log10_break_energy_gev
0.7142007617692627,2.735,1.77e-18,4.419777256258235,gamma1-log10_break_energy_gev
0.6709073486983348,2.735,1.77e-18,4.245153985507247,gamma1-log10_break_energy_gev
0.7780134003455448,2.735,1.77e-18,4.421048460144928,gamma1-log10_break_energy_gev
0.8279927139755028,2.735,1.77e-18,4.248633069828723,gamma1-log10_break_energy_gev
0.9401863688973052,2.735,1.77e-18,4.432355484189724,gamma1-log10_break_energy_gev
0.9359892897879752,2.735,1.77e-18,4.2510416666666675,gamma1-log10_break_energy_gev
1.0484338402137316,2.735,1.77e-18,4.4456027667984195,gamma1-log10_break_energy_gev
0.9998236106917604,2.735,1.77e-18,4.25324954710145,gamma1-log10_break_energy_gev
1.1618664852785088,2.735,1.77e-18,4.2589365118577085,gamma1-log10_break_energy_gev
1.245309373932562,2.735,1.77e-18,4.472364953886694,gamma1-log10_break_energy_gev
1.270042714661713,2.735,1.77e-18,4.2691061429512525,gamma1-log10_break_energy_gev
1.3535413578722002,2.735,1.77e-18,4.484943181818183,gamma1-log10_break_energy_gev
1.3913987016908207,2.735,1.77e-18,4.283423913043479,gamma1-log10_break_energy_gev
1.4865479822124217,2.735,1.77e-18,4.2960467446201145,gamma1-log10_break_energy_gev
1.530848074774516,2.735,1.77e-18,4.514158569389548,gamma1-log10_break_energy_gev
1.585072822545774,2.735,1.77e-18,4.313189412238326,gamma1-log10_break_energy_gev
